,AUC,J,ER,CZ,IU,Data.gen
Emp,0.001±0.053,0.001±0.099,0.002±0.097,0.001±0.096,0.001±0.092,BN equal
BN,0±0.05,0.008±0.646,-0.001±0.113,-0.002±0.124,-0.001±0.107,BN equal
BG,-0.04±0.015,0.741±0.548,0.737±0.553,0.738±0.552,0.769±0.542,BN equal
BiChi,-0.044±0.02,0.022±0.136,0.501±0.193,0.504±0.19,0.471±0.179,BN equal
NonPar,0±0.052,0.001±0.13,0.001±0.111,0.001±0.11,0.001±0.098,BN equal
PV,0.001±0.05,0.003±0.645,0±0.113,-0.001±0.124,-0.001±0.107,BN equal
Semi.PV,0±0.049,0.009±0.651,0.001±0.114,0.001±0.123,0±0.108,BN equal
Emp1,0.001±0.052,0.726±0.109,0.163±0.105,0.2±0.105,0.013±0.095,BN unequal
BN1,0.001±0.051,-0.001±0.19,-0.001±0.103,0±0.114,0.001±0.101,BN unequal
BG1,-0.039±0.015,1.507±0.573,0.945±0.552,0.983±0.552,0.821±0.568,BN unequal
BiChi1,-0.099±0.027,17.673±2.303,11.613±1.247,11.541±1.234,20.816±1.94,BN unequal
NonPar1,0.001±0.052,0.715±0.176,0.156±0.122,0.194±0.128,0.014±0.103,BN unequal
PV1,0.001±0.051,-0.001±0.19,-0.001±0.103,0±0.114,0.001±0.101,BN unequal
Semi.PV1,-0.001±0.049,0.001±0.195,0.001±0.106,0.001±0.114,-0.006±0.1,BN unequal
Emp2,-0.049±0.058,1.014±0.152,1.007±0.15,1.008±0.151,0.995±0.172,Skewed I
BN2,-0.048±0.056,1.603±6.038,1.021±0.302,1.026±0.313,1.021±0.145,Skewed I
BG2,-0.054±0.016,1.563±1.313,2.082±0.935,2.082±0.935,2.115±0.941,Skewed I
BiChi2,-0.049±0.052,1.112±23.98,2.053±11.816,2.062±11.723,1.967±22.627,Skewed I
NonPar2,-0.048±0.057,1.016±0.187,1±0.177,1.003±0.169,0.956±0.259,Skewed I
PV2,-0.048±0.055,1.595±5.97,1.02±0.301,1.025±0.31,1.021±0.145,Skewed I
Semi.PV2,0.085±0.149,1.367±3.105,1.253±1.204,1.33±1.087,1.005±1.062,Skewed I
Emp3,0.001±0.053,0.714±0.259,0.697±0.25,0.697±0.255,0.672±0.292,Skewed II
BN3,-0.011±0.052,1.769±2.853,0.843±0.516,0.883±0.624,0.719±0.226,Skewed II
BG3,-0.043±0.015,2.338±1.569,2.41±1.443,2.41±1.443,2.483±1.449,Skewed II
BiChi3,-0.023±0.064,0.793±25.375,1.679±13.145,1.717±13.531,1.57±0.855,Skewed II
NonPar3,0±0.052,0.713±0.299,0.675±0.292,0.676±0.288,0.596±0.488,Skewed II
PV3,-0.012±0.053,1.684±2.689,0.818±0.407,0.851±0.496,0.718±0.224,Skewed II
Semi.PV3,0.068±0.151,0.459±4.221,0.733±1.537,0.932±1.491,0.565±1.33,Skewed II
Emp4,-0.002±0.059,0.001±0.009,0.031±0.01,0.03±0.009,0.031±0.01,Skewed III
BN4,0.012±0.051,0.056±0.023,0.043±0.013,0.047±0.016,0.033±0.01,Skewed III
BG4,-0.042±0.015,0.073±0.052,0.101±0.052,0.1±0.052,0.105±0.052,Skewed III
BiChi4,-0.007±0.032,0.002±0.009,0.072±0.018,0.073±0.018,0.066±0.018,Skewed III
NonPar4,-0.003±0.058,0.001±0.011,0.03±0.011,0.03±0.011,0.029±0.017,Skewed III
PV4,0.012±0.052,0.053±0.022,0.042±0.012,0.045±0.015,0.033±0.01,Skewed III
Semi.PV4,0.061±0.136,0.039±0.131,0.048±0.056,0.05±0.059,0.033±0.047,Skewed III
Emp5,0.002±0.056,-1.142±0.205,-0.389±0.197,-0.577±0.205,0.065±0.18,Mixed I
BN5,0±0.051,0.004±0.172,-0.001±0.126,0.001±0.144,0.001±0.144,Mixed I
BG5,-0.051±0.015,0.4±1.018,1.098±1.002,0.91±1.002,1.639±1.007,Mixed I
BiChi5,0.015±0.006,-1.161±0.178,-0.123±0.203,-0.245±0.204,0.308±0.192,Mixed I
NonPar5,0.002±0.055,-1.089±0.685,-0.358±0.258,-0.543±0.287,0.033±0.188,Mixed I
PV5,0±0.051,0.003±0.171,-0.003±0.127,0±0.144,-0.002±0.145,Mixed I
Semi.PV5,-0.002±0.052,-0.029±0.179,-0.03±0.13,-0.043±0.141,-0.004±0.148,Mixed I
Emp6,-0.016±0.053,-0.798±0.136,-0.159±0.129,-0.208±0.133,-0.083±0.121,Mixed II
BN6,-0.017±0.05,-0.006±0.28,0.003±0.13,-0.001±0.143,-0.048±0.132,Mixed II
BG6,-0.076±0.014,0.222±0.76,0.828±0.773,0.78±0.773,0.958±0.773,Mixed II
BiChi6,-0.049±0.014,-0.804±0.121,0.243±0.177,0.219±0.17,0.266±0.167,Mixed II
NonPar6,-0.017±0.052,-0.777±0.187,-0.143±0.148,-0.192±0.152,-0.088±0.137,Mixed II
PV6,-0.018±0.05,-0.005±0.28,0.003±0.13,-0.001±0.143,-0.048±0.131,Mixed II
Semi.PV6,-0.018±0.052,-0.008±0.278,-0.001±0.132,-0.004±0.14,-0.049±0.133,Mixed II
