,AUC,J,ER,CZ,IU,Data.gen
Emp,0.004 ± 0.08,0 ± 0.139,0 ± 0.138,0 ± 0.138,-0.001 ± 0.134,BN equal
BN,0.001 ± 0.077,0.016 ± 0.813,0.001 ± 0.165,0.002 ± 0.178,0.004 ± 0.144,BN equal
BG,-0.044 ± 0.017,1.466 ± 1.024,1.548 ± 0.885,1.548 ± 0.885,1.594 ± 0.876,BN equal
BiChi,-0.043 ± 0.028,0.038 ± 0.235,0.506 ± 0.326,0.511 ± 0.322,0.462 ± 0.252,BN equal
NonPar,0.003 ± 0.079,0.001 ± 0.214,-0.001 ± 0.175,0.001 ± 0.178,-0.003 ± 0.147,BN equal
PV,0.001 ± 0.077,0.021 ± 0.813,0.001 ± 0.166,0.002 ± 0.177,0.004 ± 0.143,BN equal
Semi.PV,0.002 ± 0.065,0.017 ± 0.818,0 ± 0.167,0 ± 0.178,0.001 ± 0.158,BN equal
Emp1,0.002 ± 0.086,0.73 ± 0.141,0.164 ± 0.139,0.203 ± 0.138,0.01 ± 0.133,BN unequal
BN1,0 ± 0.078,-0.002 ± 0.297,0.001 ± 0.147,0.003 ± 0.161,-0.003 ± 0.141,BN unequal
BG1,-0.043 ± 0.017,2.235 ± 1.086,1.789 ± 0.919,1.828 ± 0.919,1.673 ± 0.941,BN unequal
BiChi1,-0.098 ± 0.04,17.344 ± 2.986,11.39 ± 1.736,11.319 ± 1.718,20.292 ± 3.108,BN unequal
NonPar1,0.001 ± 0.084,0.716 ± 0.216,0.152 ± 0.173,0.193 ± 0.17,0.021 ± 0.143,BN unequal
PV1,0 ± 0.079,-0.001 ± 0.298,0.001 ± 0.146,0.004 ± 0.161,-0.004 ± 0.14,BN unequal
Semi.PV1,0.001 ± 0.067,-0.001 ± 0.308,0.004 ± 0.149,0.005 ± 0.161,-0.025 ± 0.141,BN unequal
Emp2,-0.053 ± 0.079,1.005 ± 0.212,1 ± 0.211,1 ± 0.209,0.991 ± 0.217,Skewed I
BN2,-0.046 ± 0.072,1.545 ± 2.981,1.017 ± 0.373,1.028 ± 0.389,1.016 ± 0.21,Skewed I
BG2,-0.054 ± 0.016,2.375 ± 2.596,3.178 ± 1.443,3.178 ± 1.441,3.218 ± 1.471,Skewed I
BiChi2,-0.047 ± 0.068,1.199 ± 23.878,2.121 ± 11.809,2.139 ± 11.787,1.967 ± 21.796,Skewed I
NonPar2,-0.053 ± 0.078,1.004 ± 0.265,0.986 ± 0.235,0.984 ± 0.232,0.905 ± 0.366,Skewed I
PV2,-0.046 ± 0.072,1.534 ± 2.954,1.014 ± 0.374,1.023 ± 0.382,1.015 ± 0.208,Skewed I
Semi.PV2,0.064 ± 0.138,0.939 ± 2.628,1.152 ± 1.061,1.267 ± 0.982,0.995 ± 0.904,Skewed I
Emp3,0.003 ± 0.08,0.698 ± 0.343,0.689 ± 0.334,0.691 ± 0.333,0.677 ± 0.342,Skewed II
BN3,-0.008 ± 0.078,1.599 ± 3.009,0.807 ± 0.617,0.874 ± 0.74,0.691 ± 0.309,Skewed II
BG3,-0.046 ± 0.017,3.672 ± 2.95,4.108 ± 2.606,4.11 ± 2.602,4.211 ± 2.532,Skewed II
BiChi3,-0.018 ± 0.076,0.827 ± 26.12,1.66 ± 14.069,1.72 ± 14.073,1.528 ± 1.214,Skewed II
NonPar3,0.003 ± 0.079,0.686 ± 0.408,0.654 ± 0.38,0.664 ± 0.364,0.552 ± 0.518,Skewed II
PV3,-0.01 ± 0.079,1.56 ± 2.907,0.781 ± 0.568,0.845 ± 0.669,0.689 ± 0.296,Skewed II
Semi.PV3,0.064 ± 0.158,0.432 ± 3.454,0.581 ± 1.246,0.755 ± 1.36,0.517 ± 1.074,Skewed II
Emp4,0.004 ± 0.076,0.002 ± 0.012,0.032 ± 0.013,0.031 ± 0.012,0.032 ± 0.013,Skewed III
BN4,0.016 ± 0.068,0.05 ± 0.032,0.042 ± 0.017,0.046 ± 0.021,0.032 ± 0.013,Skewed III
BG4,-0.047 ± 0.015,0.136 ± 0.098,0.165 ± 0.095,0.164 ± 0.095,0.171 ± 0.095,Skewed III
