,AUC,J,ER,CZ,IU,Data.gen
Emp,0.006 ± 0.021,-0.003 ± 0.136,-0.002 ± 0.135,-0.003 ± 0.136,-0.003 ± 0.136,BN equal
BN,-0.001 ± 0.022,-0.003 ± 0.141,-0.002 ± 0.159,-0.003 ± 0.143,-0.003 ± 0.141,BN equal
BG,-0.366 ± 0.007,2.543 ± 1.465,2.45 ± 1.459,2.454 ± 1.463,2.546 ± 1.464,BN equal
BiChi,-0.364 ± 0.02,-0.002 ± 0.133,0.548 ± 0.26,0.601 ± 0.261,0.408 ± 0.2,BN equal
NonPar,0.002 ± 0.023,0 ± 0.153,-0.001 ± 0.144,0 ± 0.147,-0.001 ± 0.151,BN equal
PV,-0.003 ± 0.021,-0.004 ± 0.141,-0.002 ± 0.16,-0.004 ± 0.145,-0.004 ± 0.141,BN equal
Semi.PV,-0.011 ± 0.025,-0.008 ± 0.148,-0.008 ± 0.169,-0.01 ± 0.15,-0.008 ± 0.148,BN equal
Emp1,0.004 ± 0.037,0.147 ± 0.119,0.281 ± 0.121,0.178 ± 0.121,0.216 ± 0.123,BN unequal
BN1,-0.002 ± 0.035,0.003 ± 0.103,0 ± 0.106,0.001 ± 0.103,-0.004 ± 0.142,BN unequal
BG1,-0.34 ± 0.008,2.268 ± 1.253,2.336 ± 1.25,2.234 ± 1.252,2.35 ± 1.253,BN unequal
BiChi1,-0.316 ± 0.01,0.148 ± 0.119,0.656 ± 0.194,0.6 ± 0.193,0.478 ± 0.148,BN unequal
NonPar1,0.003 ± 0.037,0.134 ± 0.137,0.263 ± 0.151,0.165 ± 0.141,0.187 ± 0.174,BN unequal
PV1,-0.001 ± 0.036,-0.002 ± 0.106,0.002 ± 0.108,-0.003 ± 0.103,-0.001 ± 0.136,BN unequal
Semi.PV1,-0.013 ± 0.046,-0.063 ± 0.138,-0.033 ± 0.144,-0.062 ± 0.143,-0.032 ± 0.161,BN unequal
Emp2,0.009 ± 0.042,-5.616 ± 0.329,-4.711 ± 0.33,-4.835 ± 0.33,-3.384 ± 0.328,Skewed I
BN2,-0.01 ± 0.055,-5.663 ± 0.365,-4.767 ± 0.443,-4.876 ± 0.364,-3.423 ± 0.342,Skewed I
